Round,Metric,Value
63,Recall,0.9444
64,Recall,0.9722
65,Recall,0.9907
66,Recall,0.9815
67,Recall,0.9815
68,Recall,0.963
69,Recall,0.9907
70,Recall,0.9352
71,Recall,0.9815
72,Recall,0.963
73,Recall,0.9815
74,Recall,0.9815
75,Recall,0.9815
76,Recall,0.9722
77,Recall,0.9815
78,Recall,0.9815
79,Recall,0.9722
80,Recall,0.9074
81,Recall,0.9537
82,Recall,0.9907
83,Recall,0.9907
84,Recall,0.9815
85,Recall,0.9907
86,Recall,0.9815
87,Recall,0.9167
88,Recall,0.9167
89,Recall,0.9815
90,Recall,0.9815
91,Recall,0.9815
92,Recall,0.9815
93,Recall,0.9537
94,Recall,0.9815
95,Recall,0.9815
96,Recall,0.9815
97,Recall,0.9815
98,Recall,0.9815
99,Recall,0.9722
100,Recall,0.9815
