Round,Metric,Value
63,Recall,0.9907
64,Recall,0.9815
65,Recall,0.9815
66,Recall,0.9167
67,Recall,0.9815
68,Recall,0.9815
69,Recall,0.9352
70,Recall,0.9815
71,Recall,0.9815
72,Recall,0.963
73,Recall,0.9815
74,Recall,0.9722
75,Recall,0.9815
76,Recall,0.9815
77,Recall,0.9352
78,Recall,0.9815
79,Recall,0.9815
80,Recall,0.9722
81,Recall,0.9907
82,Recall,0.9815
83,Recall,0.9722
84,Recall,0.9815
85,Recall,0.9259
86,Recall,0.9815
87,Recall,0.9907
88,Recall,0.9815
89,Recall,0.9815
90,Recall,0.963
91,Recall,0.9907
92,Recall,0.9815
93,Recall,0.9815
94,Recall,0.9815
95,Recall,0.9907
96,Recall,0.9907
97,Recall,0.9815
98,Recall,0.9722
99,Recall,0.9907
100,Recall,0.9907
