Round,Metric,Value
68,Recall,0.8796
69,Recall,0.8981
70,Recall,0.9815
71,Recall,0.963
72,Recall,0.9722
73,Recall,0.7778
74,Recall,0.9074
75,Recall,0.963
76,Recall,0.9722
77,Recall,0.9444
78,Recall,0.9815
79,Recall,0.9722
80,Recall,0.9907
81,Recall,0.9722
82,Recall,0.9537
83,Recall,0.9907
84,Recall,0.9815
85,Recall,0.9537
86,Recall,0.9537
87,Recall,0.963
88,Recall,0.963
89,Recall,0.963
90,Recall,0.9722
91,Recall,0.963
92,Recall,0.963
93,Recall,0.9722
94,Recall,0.963
95,Recall,0.9722
96,Recall,0.9815
97,Recall,0.963
98,Recall,0.963
99,Recall,0.9815
100,Recall,0.9815
