Round,Metric,Value
64,Recall,0.9815
65,Recall,0.9722
66,Recall,0.9815
67,Recall,0.9722
68,Recall,0.9815
69,Recall,0.9815
70,Recall,0.9815
71,Recall,0.963
72,Recall,0.9815
73,Recall,0.9815
74,Recall,0.9815
75,Recall,0.9537
76,Recall,0.9815
77,Recall,0.9815
78,Recall,0.9815
79,Recall,0.9815
80,Recall,0.9815
81,Recall,0.9815
82,Recall,0.9815
83,Recall,0.9815
84,Recall,0.9815
85,Recall,0.9815
86,Recall,0.9815
87,Recall,0.9815
88,Recall,0.9815
89,Recall,0.9815
90,Recall,0.9815
91,Recall,0.9815
92,Recall,0.9815
93,Recall,0.9815
94,Recall,0.9537
95,Recall,0.9907
96,Recall,0.9815
97,Recall,0.9907
98,Recall,0.9815
99,Recall,0.9815
100,Recall,0.9815
